"id","transaction_date","amount","card_number","card_holder_name","merchant_name","category_name"
1465,"2018-05-30 08:27:41",0.59,4027907156459098,"Brandon Pineda","Davis, Lowe and Baxter","food truck"
2580,"2018-09-26 08:50:53",1.19,4027907156459098,"Brandon Pineda","Martinez Group","restaurant"
93,"2018-01-11 09:58:11",1.62,5500708021555307,"Crystal Clark","Clark and Sons","food truck"
804,"2018-03-21 08:07:16",1.77,5570600642865857,"Crystal Clark","Fisher-Bolton","restaurant"
3215,"2018-11-30 09:08:26",1.53,503842928916,"Crystal Clark","Riggs-Adams","restaurant"
1659,"2018-06-19 08:34:09",1.46,503842928916,"Crystal Clark","Russell and Sons","pub"
3018,"2018-11-09 09:18:16",1.51,5500708021555307,"Crystal Clark","Greene-Wood","bar"
222,"2018-01-23 08:18:10",1.48,5500708021555307,"Crystal Clark","Jarvis-Turner","pub"
379,"2018-02-09 07:38:19",1.16,503842928916,"Crystal Clark","Bell, Gonzalez and Lowe","pub"
2743,"2018-10-11 08:58:22",1.67,584226564303,"Danielle Green","Wilson, Roberts and Davenport","food truck"
2639,"2018-10-02 07:39:36",1.54,584226564303,"Danielle Green","Clark and Sons","food truck"
1373,"2018-05-20 09:22:21",1.29,584226564303,"Danielle Green","Russell-Thomas","restaurant"
2670,"2018-10-05 08:27:56",1.36,30078299053512,"Elizabeth Sawyer","Sweeney-Paul","coffee shop"
658,"2018-03-08 07:46:00",1.37,5175947111814778,"Gary Jacobs","Baker Inc","food truck"
2735,"2018-10-10 09:01:17",1.60,5175947111814778,"Gary Jacobs","Pitts, Salinas and Garcia","coffee shop"
1374,"2018-05-20 09:33:41",1.90,5135837688671496,"John Martin","Maldonado Group","coffee shop"
1086,"2018-04-19 09:58:51",1.58,3561954487988605,"John Martin","Young, Hull and Williams","pub"
3352,"2018-12-16 09:38:32",1.39,4586962917519654607,"Kevin Spencer","Wood-Ramirez","bar"
1548,"2018-06-07 08:58:28",1.41,4506405265172173,"Kevin Spencer","Brown-Cunningham","pub"
1381,"2018-05-21 09:36:20",1.53,4723783028106084756,"Kyle Tucker","Turner Ltd","pub"
41,"2018-01-05 07:19:27",1.36,344119623920892,"Malik Carlson","Atkinson Ltd","bar"
2597,"2018-09-28 07:31:10",1.61,4498002758300,"Malik Carlson","Patton-Rivera","bar"
3372,"2018-12-18 07:36:22",1.45,4188164051171486,"Mark Lewis","Wilson, Roberts and Davenport","food truck"
2440,"2018-09-12 07:09:31",1.09,501879657465,"Megan Price","Henderson and Sons","restaurant"
821,"2018-03-23 07:13:23",1.46,376027549341849,"Megan Price","Fleming, Smith and Collins","bar"
1315,"2018-05-14 07:06:07",1.46,501879657465,"Megan Price","Greene-Wood","bar"
1935,"2018-07-16 07:21:20",1.27,30063281385429,"Michael Floyd","Miller-Blevins","pub"
2742,"2018-10-11 07:53:12",1.63,30063281385429,"Michael Floyd","Day-Murray","food truck"
2120,"2018-08-05 07:24:20",1.09,30063281385429,"Michael Floyd","Cline, Myers and Strong","restaurant"
2716,"2018-10-08 08:18:57",1.74,372414832802279,"Nancy Contreras","Baxter-Smith","restaurant"
2376,"2018-09-04 09:20:30",1.61,4319653513507,"Nancy Contreras","Atkinson Ltd","bar"
717,"2018-03-12 09:08:18",1.65,372414832802279,"Nancy Contreras","Giles and Sons","pub"
2527,"2018-09-21 07:53:08",0.61,5361779664174555,"Peter Mckay","Mitchell Group","coffee shop"
1546,"2018-06-07 07:07:22",1.62,3561072557118696,"Peter Mckay","Greene-Wood","bar"
1176,"2018-04-29 08:03:32",1.72,4743204091443101526,"Peter Mckay","Pugh-Williams","bar"
2553,"2018-09-24 08:19:07",1.89,4743204091443101526,"Peter Mckay","Pugh-Williams","bar"
3398,"2018-12-20 08:00:01",0.78,4743204091443101526,"Peter Mckay","Robles Inc","bar"
860,"2018-03-27 07:04:02",0.78,4268491956169254,"Sara Cooper","Baker Inc","food truck"
979,"2018-04-09 08:30:25",1.99,4539990688484983,"Sean Taylor","Mccarty PLC","restaurant"
1177,"2018-04-29 08:15:40",1.11,3516952396080247,"Sean Taylor","Wood-Ramirez","bar"
1048,"2018-04-15 09:50:16",1.54,30142966699187,"Stephanie Dalton","Vega, Jones and Castro","food truck"
398,"2018-02-11 08:25:36",1.26,3582198969197591,"Stephanie Dalton","Brown LLC","bar"
1476,"2018-05-31 09:07:36",0.83,3582198969197591,"Stephanie Dalton","Sanders, Parks and Mcfarland","coffee shop"
