"transaction_id","transaction_date","amount","card_number","card_holder_name"
7,"2018-01-02 02:06:21",1.46,4319653513507,"Nancy Contreras"
21,"2018-01-03 15:23:58",1.39,4962915017023706562,"Matthew Gutierrez"
23,"2018-01-03 21:04:28",1.91,3561072557118696,"Peter Mckay"
41,"2018-01-05 07:19:27",1.36,344119623920892,"Malik Carlson"
45,"2018-01-06 02:16:41",1.33,4866761290278198714,"Shane Shaffer"
75,"2018-01-08 21:44:34",1.68,4681896441519,"Stephanie Dalton"
80,"2018-01-10 00:25:40",1.39,372414832802279,"Nancy Contreras"
81,"2018-01-10 03:17:20",0.87,503842928916,"Crystal Clark"
87,"2018-01-10 15:56:41",1.22,503842928916,"Crystal Clark"
93,"2018-01-11 09:58:11",1.62,5500708021555307,"Crystal Clark"
94,"2018-01-11 10:51:08",1.24,30063281385429,"Michael Floyd"
98,"2018-01-11 19:36:21",1.72,4761049645711555811,"Robert Johnson"
101,"2018-01-12 02:48:29",1.84,30142966699187,"Stephanie Dalton"
107,"2018-01-12 18:04:04",1.88,4681896441519,"Stephanie Dalton"
109,"2018-01-12 23:38:53",1.1,4506405265172173,"Kevin Spencer"
115,"2018-01-13 14:36:43",1.35,4150721559116778,"Mark Lewis"
129,"2018-01-14 15:31:50",1.42,376027549341849,"Megan Price"
131,"2018-01-15 03:37:27",1.47,4834483169177062,"Michael Floyd"
139,"2018-01-16 02:26:16",1.65,372414832802279,"Nancy Contreras"
144,"2018-01-16 13:48:12",1.84,4268491956169254,"Sara Cooper"
146,"2018-01-16 18:45:54",1.48,4962915017023706562,"Matthew Gutierrez"
153,"2018-01-17 06:36:33",1.02,180098539019105,"Brandon Pineda"
160,"2018-01-17 15:02:38",1.72,4498002758300,"Malik Carlson"
161,"2018-01-17 16:57:27",1.25,4268491956169254,"Sara Cooper"
167,"2018-01-18 11:17:37",1.24,30181963913340,"Laurie Gibbs"
193,"2018-01-20 13:44:37",1.83,501879657465,"Megan Price"
214,"2018-01-22 11:52:29",1.67,180098539019105,"Brandon Pineda"
222,"2018-01-23 08:18:10",1.48,5500708021555307,"Crystal Clark"
259,"2018-01-27 14:00:31",1.88,6500236164848279,"Kyle Tucker"
260,"2018-01-27 18:02:40",1.83,4268491956169254,"Sara Cooper"
268,"2018-01-28 19:30:38",0.72,6011987562414062,"Michael Carroll"
307,"2018-01-31 13:17:35",0.58,4741042733274,"Mark Lewis"
317,"2018-02-01 21:52:43",1.54,4743204091443101526,"Peter Mckay"
331,"2018-02-03 15:45:32",1.17,3516952396080247,"Sean Taylor"
334,"2018-02-03 18:05:39",1.41,4866761290278198714,"Shane Shaffer"
342,"2018-02-04 19:02:09",0.51,3561954487988605,"John Martin"
348,"2018-02-05 15:54:02",1.52,30063281385429,"Michael Floyd"
378,"2018-02-09 00:54:12",1.72,4586962917519654607,"Kevin Spencer"
379,"2018-02-09 07:38:19",1.16,503842928916,"Crystal Clark"
381,"2018-02-09 15:30:03",1.21,3582198969197591,"Stephanie Dalton"
391,"2018-02-10 13:26:43",1.66,4276466390111,"Sara Cooper"
